blood_group	user_id	company	registration	address	job	ssn	username	residence	name	current_location	mail	station_ID
AB-	1104	Branciforte SPA	31 Oct 2020		Operations geologist	PRZNNS32M02F087B	schiavoeliana		Fernanda Interminei	(Decimal('85.734564'), Decimal('74.973343'))	boccacciopier@libero.it	8
O-	1297	Goldoni s.r.l.	12/16/2021, 00:00:00	"Piazza Turrini, 90
82010, Luzzano (BN)"		MTASVR72S54D052M	diana41		Dott. Dina Liverotti	(Decimal('77.867062'), Decimal('31.925919'))	giancomisso@yahoo.com	114
AB-	707	Ditschlerin AG	2018/10/07	"Gutestraße 93-84
44964 Kötzting"	Medizininformatiker	679-61-2983	aleksejdoerschner		Frithjof Steuer	(Decimal('-51.7208345'), Decimal('33.854674'))	wolfram98@hotmail.de	676
O+	104	Aragão e Filhos	18 Feb 2019	"Vila de Garcia, 493
Grotinha
43195955 Moura / CE"	Alpinista	53624178008	lrodrigues		Milena Costa	(Decimal('69.522445'), Decimal('-0.906262'))	britomiguel@hotmail.com	375
A-	202	Briemer	2024-04-30	"Danielle-Bender-Platz 86/61
89254 Burglengenfeld"	Artist	276-74-9339	vhauffer		Prof. Krystyna Liebelt	(Decimal('8.0839835'), Decimal('-130.361581'))	enver05@gmx.de	487
O+	1184	合同会社石川情報	2018-12-13	福島県横浜市保土ケ谷区筑土八幡町3丁目8番20号 パーク渡辺524		805-76-1906	rei98		福田 舞	(Decimal('47.5384655'), Decimal('-142.406256'))	pkato@hotmail.com	329
B+	161	Le Group	2020-11-11	"87277 Mark Ways
Karlamouth, KS 51706"		384-22-8062	francislauren		Lisa Moore	(Decimal('13.7495605'), Decimal('-113.790635'))	lauren82@hotmail.com	538
A-	807	Casa Grande S/A	2019-01-19	"Praia de Aparecida, 5
Vila Fumec
21796-004 Barros / PA"	Supervisor	97842356173	asa		Levi da Mata		das-nevesapollo@hotmail.com	492
O+	2006	Bohnbach GmbH & Co. KGaA	11/23/2021, 00:00:00	"Heckerweg 59/71
06194 Altentreptow"		287-52-5715	ottohatice		Prof. Michel Mosemann	(Decimal('-1.385933'), Decimal('-141.348479'))	hanspeterlinke@googlemail.com	92
A-	1615	合同会社遠藤鉱業	20 Jun 2020	茨城県四街道市池之端19丁目16番14号		068-64-6109	satonanami		藤井 修平	(Decimal('-66.8780875'), Decimal('28.028689'))	takumaokada@yahoo.com	44
A+	38	Iannuzzi e figli	2025/04/19	"Contrada Rocca, 42
85014, Laurenzana (PZ)"		CNTLSN31R15I974N	pmarconi		Dott. Allegra Valier	(Decimal('27.633947'), Decimal('7.333458'))	lpetralli@libero.it	336
A-	544	Siering Heidrich GmbH & Co. OHG	2024/01/08			775-47-2855	nreinhardt		Prof. Ann-Kathrin Stiebitz MBA.	(Decimal('-6.648199'), Decimal('177.640650'))	genoveva11@gmail.com	52
O+	1098	Pacheco	05 Jul 2020	"Praia de Teixeira, 42
Nazare
94324295 Gonçalves / AP"	Engenheiro de alimentos	54310726925	cecilianogueira		Gustavo Henrique Novais	(Decimal('38.908490'), Decimal('157.208041'))	azevedomanuela@bol.com.br	463
AB-	811	Junck Gumprich AG & Co. OHG	02/28/2021, 00:00:00	"Traugott-Weller-Weg 7-6
57182 Sonneberg"	Mathematiker	770-12-5858	jkiller		Christin Schacht	(Decimal('41.1928775'), Decimal('-176.808650'))	omatthaei@googlemail.com	570
B+	25	岡本銀行株式会社	05/13/2024, 00:00:00	群馬県新島村手岡37丁目20番12号		554-22-5196	naokiishikawa		鈴木 くみ子		iabe@hotmail.com	111
A+	63	Baum Paffrath AG & Co. KGaA	2022/02/15	"Henkstr. 6851
03145 Vohenstrauß"		756-25-8529	eberhardtmelitta		Franca Stahr	(Decimal('-59.9667845'), Decimal('-127.369760'))	murat30@hotmail.de	379
A-	1145	Klapp Wilms GmbH	2024-10-09	"Bienplatz 3/7
42974 Kyritz"		116-13-5269	cruppersberger		Univ.Prof. Ullrich Tintzmann	(Decimal('44.491785'), Decimal('-74.184081'))	rosasoeding@gmail.com	335
O+	47	田中食品株式会社	27 Jun 2025	兵庫県印旛郡印旛村湯宮25丁目11番18号 ハイツ藤金737	電気工事士	169-07-2086	manabutanaka		清水 直子	(Decimal('1.6262585'), Decimal('-66.067330'))	miki35@yahoo.com	24
O+	170	合同会社森農林	2022-07-31	鳥取県千代田区湯宮16丁目4番10号		642-36-1197	kimurarika		佐々木 智也	(Decimal('56.430974'), Decimal('157.366445'))	sayuri82@gmail.com	324
O+	1010	Mendes	05 Jun 2022	"Sítio Gustavo Henrique Caldeira, 312
São Salvador
15321859 Costa Verde / PI"		07381296403	agatha37		Maria Sophia Mendes	(Decimal('-4.433469'), Decimal('-119.727977'))	yurisa@gmail.com	177
B+	1996	Kennedy-Patterson	03 Jun 2019		Engineer, manufacturing systems	219-67-8940	robert96		Jessica Brown	(Decimal('-14.0608525'), Decimal('-28.093466'))	ramirezdonald@gmail.com	508
AB+	1451	株式会社渡辺銀行	2022-10-12	新潟県武蔵村山市戸島40丁目4番5号	公務員	611-18-2800	yosukewatanabe		鈴木 太一	(Decimal('68.233813'), Decimal('45.714540'))	murakaminanami@hotmail.com	549
A-	512	Striebitz	11/28/2018, 00:00:00	"Hermighausenallee 7
29780 Füssen"		851-40-5127	aboerner		Faruk Mohaupt	(Decimal('-32.8266725'), Decimal('-130.871043'))	friedrich-wilhelm33@gmail.com	325
AB-	636	佐々木ガス有限会社	2023/11/15			711-53-3599	ryosuke40		山本 加奈	(Decimal('-52.8343965'), Decimal('-98.319705'))	fkondo@hotmail.com	610
B+	2029	Gray-Smith	01/14/2019, 00:00:00			738-51-1758	onealbilly		Denise Stevens	(Decimal('41.913244'), Decimal('-150.367086'))	houstonlawrence@gmail.com	313
B+	223	Cannon-Wilson	17 Jun 2019	"1080 Parker Avenue Suite 872
South Christian, WI 90685"		134-97-5226	acarroll		Timothy Terry		dillonfernandez@yahoo.com	136
O+	985	Pires	2020/07/19	"Rua Nina Sales, 95
Santa Lúcia
67300-169 Moraes / MG"		26357198455	fernando22		Davi Luiz Mendes	(Decimal('84.0795565'), Decimal('114.218451'))	maria-fernandalopes@uol.com.br	585
O-	1313	Cummings, Gutierrez and Lewis	25 Aug 2023	"760 Ramos Place
Brownfort, GA 24371"		460-32-6414	lewisjennifer		Erika Andrade	(Decimal('36.026416'), Decimal('-4.708062'))	jessicachristian@gmail.com	311
A-	68	Oderwald GmbH & Co. KGaA	2024/08/13	"Abbas-Oderwald-Ring 9
24708 Wesel"		216-47-4431	siegwardkitzmann		Leo Preiß	(Decimal('29.191733'), Decimal('-172.343560'))	gierschnerachim@yahoo.de	155
AB-	242	Sousa Aparecida - ME	2022/05/15	"Recanto das Neves, 8
São Salvador
18639483 Correia / AC"		63590714875	fda-mata		Enzo Gabriel Nunes	(Decimal('-72.3044015'), Decimal('-38.607195'))	psales@yahoo.com.br	81
A+	1629	Proietti-Treccani Group	2024-07-17	"Contrada Fiorino, 4 Appartamento 12
20128, Milano (MI)"		VRDDNN88B27C125D	fsimeoni		Agostino Leopardi	(Decimal('45.8108255'), Decimal('25.708330'))	mgrasso@gmail.com	315
O+	1956	高橋鉱業株式会社	2018/11/24	山口県横浜市西区北上野30丁目1番10号 高田馬場シティ704		244-14-4524	manabu75		坂本 千代	(Decimal('-83.4992355'), Decimal('92.619407'))	satoshota@hotmail.com	271
A-	14	Stiebitz GbR	09/29/2020, 00:00:00	"Häringgasse 83/29
85305 Fallingbostel"	Medizininformatiker	826-58-0889	utrapp		Klaas Mies	(Decimal('5.409398'), Decimal('-107.884170'))	jaehnlieschen@aol.de	274
AB+	1483	森ガス株式会社	15 Nov 2021			263-90-4946	sakamotomikako		前田 裕太	(Decimal('-9.367640'), Decimal('-94.780208'))	takuma11@gmail.com	401
B+	2034	Borsellino, Nicolini e Einaudi Group	2025-03-21			GBBMND22A22I585E	rominavismara		Marisa Boito-Ariosto	(Decimal('28.661548'), Decimal('-111.439473'))	filippa90@alice.it	203
AB-	1755	Macedo	11/16/2019, 00:00:00	"Passarela Marcos Vinicius Alves, 34
Vila Canto Do Sabiá
20172480 Carvalho Alegre / MA"		56097421885	machadodavi-lucas		Ana Cecília Rezende	(Decimal('14.358500'), Decimal('-133.334283'))	uborges@gmail.com	612
A+	169	Wähner	2019/01/04	"Hethurstraße 84/68
09813 Saulgau"		715-18-1034	ploechel		Sara Kusch		gunpfludwina@yahoo.de	195
A+	223	Hernandez, Waters and Hart	2022-10-19	"9036 Scott Streets
New Daniel, RI 00913"		766-35-4738	sara99		Lindsay Tate	(Decimal('-14.8427905'), Decimal('-128.290437'))	zmurray@hotmail.com	144
AB+	1332	Schmidtke KG	2025-02-16	"Leonardo-Römer-Gasse 638
99049 Beilngries"		016-64-8042	xpaffrath		Kathy Beckmann B.A.	(Decimal('-75.643511'), Decimal('150.420358'))	clinke@web.de	462
AB-	1039	Etzold Schulz AG & Co. KGaA	2025-08-08	"Konstanze-Atzler-Gasse 29-81
14315 Freital"	Beamter	111-29-0090	margarethaklotz		Dr. Alex Birnbaum MBA.	(Decimal('-3.9573065'), Decimal('94.072223'))	jacobi-jaeckelberthold@web.de	35
AB+	991	鈴木保険株式会社	2020/01/27	愛知県江戸川区丸の内10丁目12番19号 シャルム北上野821		529-24-2457	qtanaka		渡辺 翔太	(Decimal('-86.3442365'), Decimal('-150.382469'))	bmori@gmail.com	585
B+	1746	Araújo	2019/05/25	"Viela Cecilia Abreu, 25
São Pedro
59468934 Nogueira de Minas / PI"		21670594343	silvabrayan		Fernando Vargas	(Decimal('-30.0896965'), Decimal('139.929009'))	nathan49@yahoo.com.br	20
A+	1782	Jopich	01/12/2020, 00:00:00	"Walther-Patberg-Weg 430
90380 Weimar"		224-85-3111	opaffrath		Ria Gude	(Decimal('-16.283727'), Decimal('78.507222'))	jorge91@gmail.com	40
B-	747	Day, Haley and Bailey	2024/01/31	"Unit 9875 Box 2164
DPO AA 93977"		260-82-6924	karenarmstrong		Daniel Hunter	(Decimal('16.1593245'), Decimal('113.211421'))	tdavid@gmail.com	527
AB-	14	Brito	2021/08/26			02564731880	calebemoreira		João Lucas Pimenta	(Decimal('75.5768045'), Decimal('-166.768293'))	sofia41@ig.com.br	464
O+	976	Cardoso - EI	11 Nov 2019			10839654766	lcostela		Isabelly da Cunha	(Decimal('79.1467295'), Decimal('-173.564059'))	fogacatheo@gmail.com	123
A-	534	Rogge Bender AG	15 Oct 2018	"Geiselplatz 40-69
48419 Bogen"		012-01-5861	eputz		Univ.Prof. Anna-Maria Schenk	(Decimal('-58.1242505'), Decimal('-63.597192'))	biancabuchholz@gmx.de	178
O-	1234	Anderson-Petty	2024/03/30	"PSC 1895, Box 9463
APO AE 54842"		058-44-4458	timothy67		Alan Ho	(Decimal('-87.578458'), Decimal('-48.395075'))	craig50@gmail.com	411
A-	1919	Smith, Walsh and Hill	2020/04/24	"9333 Armstrong Centers
South Thomasborough, AS 06322"		727-79-7671	joseph61		Heather Valdez	(Decimal('58.795791'), Decimal('-70.853135'))	fsmith@hotmail.com	712
O+	1368	山崎保険合同会社	07/01/2022, 00:00:00	三重県白井市港南6丁目16番2号	モデル	281-45-9018	suzukiyuki		渡辺 美加子	(Decimal('-0.936067'), Decimal('171.454645'))	manabu85@yahoo.com	156
A-	147	Gunpf OHG mbH	2020/12/01			653-12-0082	bjunitz		Telse Graf	(Decimal('-57.0690755'), Decimal('106.644234'))	wbien@hotmail.de	35
A+	2152	Lam-Porter	21 Oct 2024	"02703 Williams Radial Suite 558
Port Stevenmouth, NC 57596"		333-81-4380	trevorpatterson		Andrew Smith	(Decimal('-69.086120'), Decimal('-46.144675'))	william37@gmail.com	664
O+	412	Mercati-Polani e figli	04/10/2019, 00:00:00	"Vicolo Baccio, 525 Appartamento 8
15024, Masio (AL)"		FTTGDU34M65H129B	qferrabosco		Sig.ra Sonia Ferretti	(Decimal('-18.2228165'), Decimal('34.982127'))	ciro66@fastwebnet.it	315
AB+	365	Powell-Tran	2024/09/07	"9657 Medina Park
Bridgeshaven, RI 39065"		286-13-1688	joshuamartin		Ashley Blankenship	(Decimal('54.667009'), Decimal('120.236323'))	qmeyer@yahoo.com	744
B+	1189	Winkler AG	26 May 2020			022-11-6685	zboerner		Kai-Uwe Kroker B.Eng.	(Decimal('-87.9143175'), Decimal('-19.873828'))	elfierudolph@gmail.com	263
AB-	2070	Köster	2023/05/28	"Ortmannweg 4/9
28269 Fallingbostel"	Chirurgiemechaniker	884-18-0652	mieshans-theo		Tilmann Scholl	(Decimal('55.6891555'), Decimal('116.872682'))	thanelsusi@web.de	331
B-	13	Beckmann GmbH	2025-04-19			274-58-6008	xspiess		Heinz-Joachim Möchlichen MBA.	(Decimal('66.1636605'), Decimal('86.120263'))	arndtschenk@googlemail.com	372
AB+	1346	Moran, Cruz and Frye	2020/04/07	"488 Christopher Radial
Port Travisborough, NH 30233"		643-22-4048	vaughndeborah		Oscar Reed	(Decimal('86.728243'), Decimal('-50.780846'))	nielsenalexis@yahoo.com	530
B-	1234	Hill, Brennan and Adkins	28 Jun 2023	"73323 Courtney Plains
Michaelville, UT 27987"		750-03-3748	michaellewis		Laura Bell	(Decimal('56.0156405'), Decimal('-90.951188'))	brianrobinson@gmail.com	389
O+	1727	佐藤食品株式会社	2021-01-14	秋田県横浜市南区氏家39丁目15番11号 パレス柿木沢新田457	公務員	006-53-3725	chiyo15		松田 治	(Decimal('-31.6087435'), Decimal('-62.874875'))	matsumotoakira@yahoo.com	617
AB+	1503	Trevisani, Boldù e Puglisi Group	2021-09-18			RNCVNI48C46F453M	agostinogagliano		Alfio Cilibrasi	(Decimal('44.728225'), Decimal('76.639613'))	dnavarria@hotmail.it	318
AB+	1364	Klotz AG & Co. KG	12/14/2023, 00:00:00	"Slawomir-Huhn-Gasse 39
91971 Wismar"		501-44-6030	rupperthardy		Alfredo Harloff-Hermann	(Decimal('43.992313'), Decimal('48.647286'))	schuelernancy@aol.de	106
B+	1150	Vieira	2021-08-14	"Núcleo de Porto, 27
Vila Copacabana
17901-299 Moreira da Prata / MT"		27415890388	leandromacedo		Lunna Nogueira	(Decimal('-59.456162'), Decimal('-24.295402'))	luna49@ig.com.br	603
A-	304	Marsili SPA	15 Jan 2021	"Contrada Cagnin, 7
13894, Gaglianico (BI)"		GRTLCZ34L09G058Y	giulietta05		Sig. Ferdinando Argurio	(Decimal('54.151078'), Decimal('173.709113'))	idatrezzini@gmail.com	366
AB+	2063	Coleman LLC	24 Mar 2025	"24718 Carla Route Suite 617
East Jamesbury, MI 81687"	Computer games developer	553-62-5971	gallaghermary		Sarah Aguilar	(Decimal('-80.425656'), Decimal('155.292597'))	iadams@hotmail.com	419
A-	1217	Molina and Sons	20 May 2025	"39551 Anthony Villages Suite 367
Lake Margaret, IA 83761"		675-86-6213	hughesgary		Megan Taylor	(Decimal('66.0377995'), Decimal('-70.037714'))	lauren45@gmail.com	402
A+	2145	Moreno-Jones	06/18/2023, 00:00:00	"02808 Paul Heights
Lake Andrealand, OK 31679"		347-02-5811	smithjuan		Michael Williams	(Decimal('-4.1847205'), Decimal('58.249985'))	schultzsheila@yahoo.com	315
AB+	1228	小林建設株式会社	2021/06/07	鳥取県立川市丹勢27丁目12番11号 方京ハイツ957	薬剤師	054-81-7883	naotoyoshida		鈴木 充		syoshida@gmail.com	28
B+	2057	合同会社吉田食品	07/09/2023, 00:00:00		バスガイド	787-18-3783	kenichitanaka		藤原 裕美子	(Decimal('75.5771265'), Decimal('-60.633526'))	rmori@hotmail.com	541
A-	278	Camargo Gomes - ME	2019/01/14	"Núcleo de Costa
Nova Esperança
27065-416 da Cruz / AL"		38295146700	jda-rosa		Bryan Leão	(Decimal('64.4075515'), Decimal('159.442473'))	da-rochaesther@uol.com.br	35
O-	2017	Pozzecco, Luzi e Zampa SPA	03/29/2023, 00:00:00		Administrator, education	PRTNTA23D28G630S	infantinoamedeo		Raimondo Petrucci	(Decimal('-71.023724'), Decimal('-61.558734'))	cremonesialessandra@alice.it	210
O-	1184	Erickson, Gaines and Garcia	2025/03/10	"9735 Marquez Brooks Suite 413
West Kimberly, AR 09137"		294-30-1843	bradshawchristopher		Ashley Zuniga	(Decimal('-35.589978'), Decimal('137.407751'))	amanda81@hotmail.com	97
B+	1094	Textor KG	03/03/2023, 00:00:00			740-30-0531	xnerger		Bertram Bonbach	(Decimal('12.1050295'), Decimal('151.320611'))	jockelherta@yahoo.de	238
O-	1597	Davis and Sons	16 May 2025	"8552 Laura Falls Apt. 351
Port David, MH 12782"		673-78-5631	navarrostephanie		Lisa Cruz	(Decimal('37.5292215'), Decimal('-162.184429'))	deanlynn@yahoo.com	231
O+	876	Taliercio e figli	2019-10-12	"Vicolo Cassarà, 8 Piano 6
10076, San Giovanni (TO)"	Operational investment banker	VCLGBL42P42H675U	dsommaruga		Dott. Rosina Malacarne	(Decimal('-34.3561295'), Decimal('146.024223'))	ybranciforte@gmail.com	596
A+	1843	Watson PLC	28 Feb 2023	"4557 Calderon Harbors
New Brandon, TN 23152"	Commercial/residential surveyor	014-52-2189	pcalderon		Jessica Moss	(Decimal('52.523043'), Decimal('-65.667453'))	tammyleonard@hotmail.com	367
A-	1188	Perry, Reed and Kramer	2024-09-24	"1404 Diamond Court
Jamesfort, VI 11734"		510-19-9339	mbrown		Heather Olson	(Decimal('-81.0297875'), Decimal('44.739348'))	sullivanhannah@hotmail.com	337
O+	186	Haase Kuhl e.G.	21 Mar 2022		Koreanistiker	400-57-9934	ulrichkrause		Herr Hans-Michael Bohnbach B.A.	(Decimal('-38.923115'), Decimal('-48.918540'))	arminreising@web.de	76
O-	5	Murray, Tran and Taylor	10/31/2018, 00:00:00	"319 Lawrence Lock Apt. 129
Port Julie, FM 12660"		234-63-9539	browndaniel		Sherry Charles	(Decimal('-73.3328605'), Decimal('-170.276446'))	robinsonwilliam@gmail.com	264
AB+	859	Schroeder, Herrera and Herrera	09/24/2020, 00:00:00	"9386 Becker Loaf
North Daltonfort, KY 60390"		869-89-2389	marydiaz		Michael Ramos	(Decimal('-13.651235'), Decimal('-161.215029'))	luke87@yahoo.com	478
A-	452	田中印刷株式会社	2020/07/07	奈良県川崎市多摩区土呂部32丁目17番6号 芝公園アーバン934		371-90-9245	hideki90		藤田 聡太郎	(Decimal('-28.3011785'), Decimal('137.804993'))	nkobayashi@gmail.com	315
O-	2015	Branciforte-Pedrazzini SPA	2024/02/28			BSSDNI83M04L672S	kmonduzzi		Ludovica Villarosa-Ferrazzi	(Decimal('50.3048305'), Decimal('19.835816'))	angelo31@hotmail.com	40
A-	1479	Holmes and Sons	11/09/2018, 00:00:00			667-52-2605	brownstephanie		Cody House MD	(Decimal('26.092122'), Decimal('101.098791'))	kbrown@yahoo.com	468
B-	1895	合同会社小林運輸	30 Jun 2019	大阪府横浜市瀬谷区細竹38丁目13番6号 箪笥町コーポ965		441-84-4340	fujitamai		山下 里佳	(Decimal('38.356626'), Decimal('-119.583585'))	osamukato@hotmail.com	120
A+	1828	Kohl	05/26/2021, 00:00:00	"Vinzenz-Freudenberger-Weg 62-15
89028 Altötting"		722-93-1300	telseplath		Annika Scheibe	(Decimal('12.941469'), Decimal('178.786030'))	sarinahofmann@hotmail.de	616
O+	171	Ortmann Dobes OHG mbH	02/21/2025, 00:00:00	"Steckelgasse 545
86364 Schrobenhausen"	Winzer	815-98-0231	knappepawel		Sarina Mitschke	(Decimal('3.9474255'), Decimal('-141.953568'))	klingelhoefermarisa@yahoo.de	126
B-	1487	Davidson-Norris	02 Dec 2019	"414 Edwards Flats Suite 752
Raymondside, MD 20338"		104-12-2073	julie01		Anthony Atkins	(Decimal('-0.2025055'), Decimal('146.391434'))	alexismiller@yahoo.com	709
B-	1331	Venturi, Paolucci e Mengolo SPA	07 Jan 2021	"Contrada Solari, 47 Appartamento 55
89868, San Giovanni Di Zambrone (VV)"		GRTLSU25S23B099W	roccomercalli		Sig. Giacomo Pizzamano	(Decimal('-49.728733'), Decimal('150.645360'))	perandaumberto@alice.it	263
A+	941	Walker LLC	2025-01-26	"116 Sophia Prairie
North Terry, KS 63799"		883-27-9226	mossjuan		Tonya Miller	(Decimal('64.888264'), Decimal('152.568500'))	creese@gmail.com	311
B+	1514	Martins Martins - ME	01/15/2019, 00:00:00	"Área Duarte, 51
Vila Atila De Paiva
51420-251 Araújo de Minas / SC"	Filósofo	63892074178	ester32		Leonardo Peixoto	(Decimal('14.5439285'), Decimal('90.328089'))	julia44@yahoo.com.br	630
B-	753	Stoll GmbH	2019-12-05	"Putzallee 1/2
96860 Scheinfeld"		828-64-2642	heckerarnfried		Univ.Prof. Friedhelm Gute	(Decimal('48.8344025'), Decimal('-52.909812'))	danicahoefig@gmail.com	319
B+	629	Frazier-Scott	04/20/2024, 00:00:00	"84708 Wheeler Via Apt. 420
East Heather, TN 70117"		218-96-3795	zmoore		Lisa Rodriguez	(Decimal('61.959068'), Decimal('-137.690032'))	boyerjoseph@gmail.com	366
O-	916	Lange Winkler GmbH	02/14/2025, 00:00:00	"Sonia-Krein-Ring 3
74327 Auerbach"	Medizininformatiker	451-04-3337	ingmar09		Univ.Prof. Käthe Gieß MBA.	(Decimal('-25.3168615'), Decimal('53.877478'))	tamarastoll@gmail.com	87
A+	1600	Stiffel Haase AG	13 Apr 2020	"Matthäistraße 9-8
35418 Ravensburg"		176-05-0861	tbauer		Albin Gunpf B.A.	(Decimal('24.262575'), Decimal('100.249896'))	anna-lenaatzler@gmx.de	463
A+	1573	橋本水産株式会社	21 Feb 2019	和歌山県横浜市金沢区横林22丁目21番5号 四番町クレスト974		367-28-3448	nanamimatsumoto		長谷川 幹	(Decimal('-60.2033555'), Decimal('76.302555'))	vwatanabe@gmail.com	657
A-	1113	Mozart, Taccola e Acerbi Group	17 Jun 2024	"Incrocio Benito, 44
38065, Sano (TN)"		BDGNCI19P64A048R	bazzisalvatore		Martino Sollima	(Decimal('57.839057'), Decimal('98.374837'))	ceciliamarzorati@tiscali.it	85
AB-	5	Martinez Group	2024-05-07	"Unit 5228 Box 1415
DPO AA 27184"	Furniture conservator/restorer	604-54-4362	xrhodes		Julia Parsons	(Decimal('-69.467843'), Decimal('144.941981'))	katherinemoore@hotmail.com	257
AB+	1559	Sampaio	04 Sep 2020	"Colônia Davi Luiz Lima, 31
Vila São Gabriel
13684700 Barros / ES"	Gourmet	24897530610	antonynogueira		Jade Moreira	(Decimal('23.9447805'), Decimal('-83.331522'))	wvasconcelos@uol.com.br	253
B+	1182	合同会社山口食品	04/28/2023, 00:00:00	栃木県大網白里市戸島2丁目12番9号 筑土八幡町アーバン619	花火師	431-93-9504	asasaki		高橋 聡太郎	(Decimal('18.716244'), Decimal('-119.714553'))	yuta99@gmail.com	325
AB+	1701	Cassiano	11/07/2024, 00:00:00	"Residencial Arthur Miguel Lima, 4
São Salvador
30498388 Souza / PI"		91856327400	teixeirathiago		Aylla Camargo	(Decimal('33.5996095'), Decimal('150.264886'))	eloateixeira@bol.com.br	323
AB-	832	有限会社中島鉱業	2023-12-22	福島県横浜市栄区明石町1丁目24番19号 轟パレス158	アイドル	618-81-9506	hmatsumoto		藤田 直子	(Decimal('14.950354'), Decimal('122.083234'))	ishiimomoko@yahoo.com	494
AB-	766	合同会社鈴木食品	10/15/2022, 00:00:00	京都府長生郡長柄町横林3丁目2番16号 アーバン方京383		472-99-4917	naotonakamura		中村 英樹	(Decimal('78.722561'), Decimal('61.425866'))	yoshidarei@yahoo.com	466
A-	1323	株式会社村上保険	2020/02/14	長崎県横浜市栄区芝大門15丁目21番6号 千束コーポ728		056-73-0616	saitoryohei		山田 浩	(Decimal('55.502501'), Decimal('-98.122656'))	nyamazaki@yahoo.com	104
B-	1599	Schüler Austermühle AG	2023-09-22			794-13-8963	meraljunk		Karl-Josef Hövel		daniela70@gmail.com	127
